,Cloudiness,Date,Humidity,Lat,Lng,Max temp,Wind speed,city,country_code
117,92,1524262800,93,61.13,22.13,7.0,1.0,Eura,FI
118,8,1524264476,39,19.58,-88.05,30.4,2.24,Felipe Carrillo Puerto,MX
119,56,1524264476,97,-38.55,-58.74,18.87,0.81,Necochea,AR
120,90,1524261600,66,50.02,-125.24,11.0,7.2,Campbell River,CA
121,92,1524264476,99,-30.86,30.37,20.67,5.29,Margate,ZA
122,68,1524261600,83,-21.15,149.2,23.0,3.1,Mackay,AU
123,48,1524264477,93,13.8,102.09,24.97,1.81,Sa Kaeo,TH
124,0,1524264477,77,52.8,28.0,7.95,4.61,Lyuban,BY
125,0,1524264477,100,-33.02,27.91,22.05,5.64,East London,ZA
126,1,1524261240,36,41.39,-78.88,10.0,6.7,Arroyo,US
127,48,1524264478,100,10.57,72.64,29.57,3.31,Kavaratti,IN
128,0,1524261600,93,-33.93,18.42,14.0,3.1,Cape Town,ZA
129,0,1524264478,54,13.0,15.73,21.3,1.16,Massakory,TD
130,0,1524261600,83,4.81,18.11,27.0,3.76,Boali,CF
131,64,1524264478,41,46.68,113.28,2.95,5.94,Baruun-Urt,MN
132,56,1524264479,88,69.3,139.9,-6.31,2.74,Deputatskiy,RU
133,75,1524261600,48,65.28,-126.83,-8.0,2.1,Norman Wells,CA
134,0,1524261600,64,-20.18,-48.03,22.0,2.1,Miguelopolis,BR
135,80,1524264398,95,35.6,103.21,5.77,1.59,Linxia,CN
136,92,1524264479,100,-15.94,-5.72,24.37,6.31,Jamestown,SH
137,88,1524264479,100,-33.64,115.35,19.42,6.61,Busselton,AU
138,64,1524264480,97,-13.19,49.05,22.45,1.34,Ambilobe,MG
139,0,1524264480,95,26.1,87.95,19.67,3.69,Kishanganj,IN
140,90,1524261600,93,65.68,-18.09,4.0,3.1,Akureyri,IS
141,36,1524264540,100,3.81,23.69,21.57,1.06,Bondo,CD
142,0,1524261600,50,64.42,-173.23,-1.0,5.0,Provideniya,RU
143,92,1524264540,95,63.44,-20.27,6.62,2.79,Vestmannaeyjar,IS
144,0,1524261600,73,68.61,31.8,-7.0,1.0,Verkhnetulomskiy,RU
145,1,1524263700,19,34.67,-86.03,22.0,2.1,Scottsboro,US
146,32,1524264541,97,-13.68,48.45,20.72,1.01,Ambanja,MG
147,0,1524264541,100,-34.05,23.37,14.37,0.79,Plettenberg Bay,ZA
148,68,1524264541,73,53.08,82.34,3.52,6.99,Rebrikha,RU
149,8,1524264542,75,54.01,33.96,6.07,4.99,Betlitsa,RU
150,76,1524264542,90,60.14,-45.24,0.42,1.01,Nanortalik,GL
151,0,1524264542,100,1.74,98.78,20.02,1.06,Sibolga,ID
152,0,1524264542,49,55.15,124.74,-1.21,2.69,Tynda,RU
153,88,1524264542,83,61.68,96.39,-1.81,4.41,Baykit,RU
154,40,1524261600,35,60.72,-135.06,4.0,5.7,Whitehorse,CA
155,75,1524263400,87,-42.78,147.06,11.0,3.1,New Norfolk,AU
156,0,1524264543,49,14.12,15.31,20.4,1.29,Mao,TD
157,0,1524262800,62,47.08,8.13,15.0,2.6,Ruswil,CH
158,0,1524264543,74,-35.66,-63.75,23.15,3.76,General Pico,AR
159,20,1524261600,59,62.45,-114.38,2.0,6.7,Yellowknife,CA
160,92,1524262800,100,62.58,6.12,8.0,10.8,Roald,NO
161,12,1524264544,98,7.79,5.71,22.2,2.46,Ode,NG
162,88,1524261000,64,65.61,-37.64,3.0,6.7,Tasiilaq,GL
163,90,1524261600,37,55.21,-119.43,10.0,1.59,Beaverlodge,CA
164,20,1524261600,81,36.31,139.8,12.0,1.0,Oyama,JP
